序号,文本内容/问卷得分,标签,备注
1,最近和室友相处得很好，周末一起去看了电影，很开心,正常,仿写大学生日常
2,马上要交课程论文了，还没写完，有点慌,轻度焦虑,仿写大学生日常
3,最近总是失眠，上课没精神，不想和人说话,中度抑郁,仿写大学生日常
4,SDS得分：52分（轻度抑郁）,轻度抑郁,模拟量表数据
5,SAS得分：48分（正常范围）,正常,模拟量表数据
6,对社团活动提不起兴趣，只想待在宿舍,中度抑郁,仿写大学生日常
7,最近在准备考研，虽然累但很充实,正常,仿写大学生日常
8,找工作投了很多简历都没回复，很焦虑,轻度焦虑,仿写大学生日常
9,觉得自己什么都做不好，很自卑,中度抑郁,仿写大学生日常
10,期末复习压力大，有点烦躁，但还能坚持,轻度焦虑,仿写大学生日常
11,今天小组作业拿了A，和组员一起吃了顿好的，很开心,正常,仿写大学生日常
12,马上要考四六级了，真题还没刷完，有点紧张,轻度焦虑,仿写大学生日常
13,对以前喜欢的游戏都提不起兴趣，觉得生活很没意思,中度抑郁,仿写大学生日常
14,SCL-90总分：145分，各因子无明显异常,正常,模拟量表数据
15,SCL-90总分：180分，焦虑因子偏高,轻度焦虑,模拟量表数据
16,每天都觉得很累，睡多久都缓不过来,中度抑郁,仿写大学生日常
17,和朋友一起去爬山，出了一身汗，心情好多了,正常,仿写大学生日常
18,绩点不够高，担心影响保研，有点焦虑,轻度焦虑,仿写大学生日常
19,不想去上课，觉得什么都无所谓,中度抑郁,仿写大学生日常
20,最近参加了创新创业大赛，和队友配合得很好，很有成就感,正常,仿写大学生日常
21,马上要做课程汇报了，PPT还没做完，有点慌,轻度焦虑,仿写大学生日常
22,晚上经常会哭，不知道自己该怎么办,中度抑郁,仿写大学生日常
23,SDS得分：40分（正常范围）,正常,模拟量表数据
24,SAS得分：65分（中度焦虑）,中度焦虑,模拟量表数据
25,觉得未来一片迷茫，不知道自己该干什么,中度抑郁,仿写大学生日常
26,和室友一起去食堂吃了新出的菜，味道很不错,正常,仿写大学生日常
27,实习的事情还没着落，有点担心毕业找不到工作,轻度焦虑,仿写大学生日常
28,不想和任何人说话，只想一个人待着,中度抑郁,仿写大学生日常
29,今天拿到了奖学金，打算请室友喝奶茶，很开心,正常,仿写大学生日常
30,计算机二级考试没准备好，有点怕过不了,轻度焦虑,仿写大学生日常
31,觉得自己很没用，什么事情都做不好,中度抑郁,仿写大学生日常
32,最近在学新的编程语言，虽然难但很有收获,正常,仿写大学生日常
33,期末论文查重没过，要重写，有点崩溃,轻度焦虑,仿写大学生日常
34,对所有事情都失去了兴趣，只想躺着,中度抑郁,仿写大学生日常
35,SCL-90总分：200分，抑郁因子偏高,中度抑郁,模拟量表数据
36,周末和高中同学聚了餐，聊得很开心,正常,仿写大学生日常
37,社团的活动和课程冲突了，有点分身乏术,轻度焦虑,仿写大学生日常
38,晚上经常失眠，白天上课注意力不集中,中度抑郁,仿写大学生日常
39,今天和导师沟通了论文，导师给了很多有用的建议,正常,仿写大学生日常
40,马上要考期末了，复习进度严重落后，很焦虑,轻度焦虑,仿写大学生日常
41,觉得活着没什么意思，看不到未来的希望,重度抑郁,仿写大学生日常
42,最近天气很好，和朋友一起去公园散步，心情很放松,正常,仿写大学生日常
43,找实习的面试总是失败，有点怀疑自己的能力,轻度焦虑,仿写大学生日常
44,不想出门，不想见人，也不想吃饭,中度抑郁,仿写大学生日常
45,今天做的实验成功了，数据很理想，很开心,正常,仿写大学生日常
46,英语六级考了好几次都没过，有点挫败,轻度焦虑,仿写大学生日常
47,觉得自己很孤独，没有真正懂自己的人,中度抑郁,仿写大学生日常
48,最近加入了一个学习小组，大家一起打卡学习，很有动力,正常,仿写大学生日常
49,马上要交实习报告了，还没写完，有点慌,轻度焦虑,仿写大学生日常
50,情绪总是很低落，开心不起来,中度抑郁,仿写大学生日常
51,SDS得分：60分（中度抑郁）,中度抑郁,模拟量表数据
52,SAS得分：55分（轻度焦虑）,轻度焦虑,模拟量表数据
53,觉得自己是个累赘，给身边的人带来麻烦,重度抑郁,仿写大学生日常
54,今天和家人视频了，他们都很支持我，很温暖,正常,仿写大学生日常
